Language,Pathway,Step/Module,Platform,Course
Python,General Programming,Python Programming,Udemy,https://www.udemy.com/course/python-the-complete-python-developer-course/
Python,General Programming,Python Programming,Udemy,https://www.udemy.com/course/automate/
Python,General Programming,Python Programming,Udemy,https://www.udemy.com/course/python-programming-projects/
Python,General Programming,Python Programming,Udemy,https://www.udemy.com/course/python-programming-beginners/
Python,General Programming,Python Programming,Udemy,https://www.udemy.com/course/python-for-absolute-beginners-u/
Python,General Programming,Python Programming,Coursera,https://www.coursera.org/learn/python-programming-introduction
Python,General Programming,Python Programming,Coursera,https://www.coursera.org/learn/python-programming
Python,General Programming,Python Programming,Coursera,https://www.coursera.org/learn/learn-to-program
Python,General Programming,Python Programming,Coursera,https://www.coursera.org/learn/python
Python,General Programming,Python Programming,Coursera,https://www.coursera.org/learn/python-classes-inheritance
Python,General Programming,Python Programming,edX,https://www.edx.org/course/cs-for-all-introduction-to-computer-science-and-py
Python,General Programming,Python Programming,edX,https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt
Python,General Programming,Python Programming,edX,https://www.edx.org/course/introduction-to-programming-using-python
Python,General Programming,Python Programming,edX,https://www.edx.org/course/introduction-to-computer-science-and-programming-7
Python,General Programming,Python Programming,edX,https://www.edx.org/course/basics-of-computing-and-programming
Python,General Programming,Databases with Python,Udemy,https://www.udemy.com/course/python-sql-tableau-integrating-python-sql-and-tableau/
Python,General Programming,Databases with Python,Udemy,https://www.udemy.com/course/complete-sql-bootcamp-with-mysql-php-python/
Python,General Programming,Databases with Python,Udemy,https://www.udemy.com/course/how-to-create-a-crud-application-with-python-and-sql-server/
Python,General Programming,Databases with Python,Udemy,https://www.udemy.com/course/learn-how-python-works-with-mongodb-pymongo-in-9hrs/
Python,General Programming,Databases with Python,Udemy,https://www.udemy.com/course/sql-for-data-science/
Python,General Programming,Databases with Python,Coursera,https://www.coursera.org/learn/python-databases
Python,General Programming,Databases with Python,Coursera,https://www.coursera.org/projects/create-python-application-mysql
Python,General Programming,Databases with Python,Coursera,https://www.coursera.org/learn/analytics-mysql
Python,General Programming,Databases with Python,Coursera,https://www.coursera.org/learn/sql-data-science
Python,General Programming,Databases with Python,Coursera,https://www.coursera.org/projects/python-application-pymango-mongodb-database
Python,General Programming,Databases with Python,Coursera,https://www.coursera.org/learn/intro-sql
Python,General Programming,Databases with Python,edX,https://www.edx.org/course/sql-for-data-science
Python,General Programming,Databases with Python,edX,https://www.edx.org/course/querying-data-with-transact-sql-2
Python,General Programming,Databases with Python,edX,https://www.edx.org/course/databases-5-sql
Python,General Programming,Databases with Python,edX,https://www.edx.org/course/enterprise-data-management
Python,General Programming,Databases with Python,edX,https://www.edx.org/course/advanced-database-administration
Python,General Programming,APIs and REST APIs,Udemy,https://www.udemy.com/course/rest-api-flask-and-python/
Python,General Programming,APIs and REST APIs,Udemy,https://www.udemy.com/course/django-python/
Python,General Programming,APIs and REST APIs,Udemy,https://www.udemy.com/course/django-python-advanced/
Python,General Programming,APIs and REST APIs,Udemy,https://www.udemy.com/course/python-rest-apis-with-flask-docker-mongodb-and-aws-devops/
Python,General Programming,APIs and REST APIs,Udemy,https://www.udemy.com/course/rest-api-rest-api-testing-using-python-for-beginners/
Python,General Programming,APIs and REST APIs,Coursera,https://www.coursera.org/learn/python-network-data
Python,General Programming,APIs and REST APIs,Coursera,https://www.coursera.org/learn/sas-viya-rest-api-python-r
Python,General Programming,APIs and REST APIs,Coursera,https://www.coursera.org/specializations/apigee-api-gcp
Python,General Programming,APIs and REST APIs,edX,https://www.edx.org/course/exploring-graphql-a-query-language-for-apis
Python,General Programming,Web Scraping & Automation,Udemy,https://www.udemy.com/course/scrapy-tutorial-web-scraping-with-python/
Python,General Programming,Web Scraping & Automation,Udemy,https://www.udemy.com/course/web-scraping-in-python-using-scrapy-and-splash/
Python,General Programming,Web Scraping & Automation,Udemy,https://www.udemy.com/course/introduction-to-data-exractionweb-scraping-in-python/
Python,General Programming,Web Scraping & Automation,Udemy,https://www.udemy.com/course/advanced-web-scraping-with-python-using-scrapy-splash/
Python,General Programming,Web Scraping & Automation,Udemy,https://www.udemy.com/course/web-scraping-and-api-fundamentals-in-python/
Python,General Programming,Web Scraping & Automation,Udemy,https://www.coursera.org/learn/python-network-data
Python,General Programming,Web Scraping & Automation,Udemy,https://www.coursera.org/learn/data-collection-processing-python
Python,General Programming,Web Dev Frameworks,Udemy,https://www.udemy.com/course/python-complete/
Python,General Programming,Web Dev Frameworks,Udemy,https://www.udemy.com/course/the-ultimate-beginners-guide-to-django-django-2-python-web-dev-website/
Python,General Programming,Web Dev Frameworks,Udemy,https://www.udemy.com/course/complete-python-developer-zero-to-mastery/
Python,General Programming,Web Dev Frameworks,Udemy,https://www.udemy.com/course/django-3-make-websites-with-python-tutorial-beginner-learn-bootstrap/
Python,General Programming,Web Dev Frameworks,Udemy,https://www.udemy.com/course/python-django-web-development-to-do-app/
Python,General Programming,Web Dev Frameworks,Coursera,https://www.coursera.org/specializations/django
Python,General Programming,Web Dev Frameworks,Coursera,https://www.coursera.org/projects/python-flask
Python,General Programming,Web Dev Frameworks,Coursera,https://www.coursera.org/learn/django-build-web-apps
Python,General Programming,GUI Development,Udemy,https://www.udemy.com/course/desktop-gui-python-tkinter/
Python,General Programming,GUI Development,Udemy,https://www.udemy.com/course/python-pyqt5-desktop-application-development-rps-game-dev/
Python,General Programming,GUI Development,Udemy,https://www.udemy.com/course/python-opencv-pyqt5/
Python,General Programming,GUI Development,Udemy,https://www.udemy.com/course/python-tool-development-with-pyside-pyqt4-pyqt5/
Python,General Programming,GUI Development,Udemy,https://www.udemy.com/course/pythoneel/
Python,General Programming,GUI Development,Coursera,https://www.coursera.org/projects/build-a-python-gui-with-tkinter
Python,General Programming,Data Algorithms,Udemy,https://www.udemy.com/course/python-for-data-structures-algorithms-and-interviews/
Python,General Programming,Data Algorithms,Udemy,https://www.udemy.com/course/algorithms-and-data-structures-in-python/
Python,General Programming,Data Algorithms,Udemy,https://www.udemy.com/course/python-programming-algorithms-data-structures/
Python,General Programming,Data Algorithms,Udemy,https://www.udemy.com/course/learning-data-structures-algorithms-in-python-from-scratch/
Python,General Programming,Data Algorithms,Udemy,https://www.udemy.com/course/data-structures-algorithms-in-python/
Python,General Programming,Data Algorithms,Coursera,https://www.coursera.org/specializations/data-structures-algorithms
Python,General Programming,Data Algorithms,Coursera,https://www.coursera.org/learn/python-data
Python,General Programming,Data Algorithms,Coursera,https://www.coursera.org/learn/computational-thinking-problem-solving
Python,General Programming,Data Algorithms,Coursera,https://www.coursera.org/specializations/computer-fundamentals
Python,General Programming,Mobile Development,Udemy,https://www.udemy.com/course/hands-on-mobile-development-with-kivy/
Python,General Programming,Data Analysis & Visualization,Udemy,https://www.udemy.com/course/data-analysis-with-pandas/
Python,General Programming,Data Analysis & Visualization,Udemy,https://www.udemy.com/course/learning-python-for-data-analysis-and-visualization/
Python,General Programming,Data Analysis & Visualization,Udemy,https://www.udemy.com/course/python-coding/
Python,General Programming,Data Analysis & Visualization,Udemy,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/
Python,General Programming,Data Analysis & Visualization,Udemy,https://www.udemy.com/course/learn-data-analytics-complete-bootcamp-by-takenmind/
Python,General Programming,Data Analysis & Visualization,Coursera,https://www.coursera.org/professional-certificates/ibm-data-science
Python,General Programming,Data Analysis & Visualization,Coursera,https://www.coursera.org/specializations/data-science-python
Python,General Programming,Data Analysis & Visualization,Coursera,https://www.coursera.org/learn/python-analysis
Python,General Programming,Data Analysis & Visualization,Coursera,https://www.coursera.org/learn/data-analysis-with-python
Python,General Programming,Data Analysis & Visualization,Coursera,https://www.coursera.org/specializations/statistics-with-python
Python,General Programming,Game Development,Udemy,https://www.udemy.com/course/coding-boot-camp/
Python,General Programming,Game Development,Udemy,https://www.udemy.com/course/python-pyqt5-desktop-application-development-rps-game-dev/
